meteo_id,METFIL,TSTART,TEND,LAT,ALT,ALTW,ATMOFIL
101089,JRC_101089.met,1979-01-01,2021-12-31,50.59951,19,10,atmospheric_1975-2021
101091,JRC_101091.met,1979-01-01,2021-12-31,50.64147,42,10,atmospheric_1975-2021
101092,JRC_101092.met,1979-01-01,2021-12-31,50.66083,59,10,atmospheric_1975-2021
101093,JRC_101093.met,1979-01-01,2021-12-31,50.67912,95,10,atmospheric_1975-2021
101094,JRC_101094.met,1979-01-01,2021-12-31,50.69632,130,10,atmospheric_1975-2021
101095,JRC_101095.met,1979-01-01,2021-12-31,50.71245,111,10,atmospheric_1975-2021
101096,JRC_101096.met,1979-01-01,2021-12-31,50.72749,128,10,atmospheric_1975-2021
101097,JRC_101097.met,1979-01-01,2021-12-31,50.74145,113,10,atmospheric_1975-2021
101098,JRC_101098.met,1979-01-01,2021-12-31,50.75433,163,10,atmospheric_1975-2021
102089,JRC_102089.met,1979-01-01,2021-12-31,50.823,26,10,atmospheric_1975-2021
102090,JRC_102090.met,1979-01-01,2021-12-31,50.84463,24,10,atmospheric_1975-2021
102091,JRC_102091.met,1979-01-01,2021-12-31,50.86518,26,10,atmospheric_1975-2021
102092,JRC_102092.met,1979-01-01,2021-12-31,50.88465,51,10,atmospheric_1975-2021
102093,JRC_102093.met,1979-01-01,2021-12-31,50.90304,39,10,atmospheric_1975-2021
102094,JRC_102094.met,1979-01-01,2021-12-31,50.92034,42,10,atmospheric_1975-2021
102095,JRC_102095.met,1979-01-01,2021-12-31,50.93656,60,10,atmospheric_1975-2021
102096,JRC_102096.met,1979-01-01,2021-12-31,50.95169,29,10,atmospheric_1975-2021
102097,JRC_102097.met,1979-01-01,2021-12-31,50.96572,77,10,atmospheric_1975-2021
102098,JRC_102098.met,1979-01-01,2021-12-31,50.97867,74,10,atmospheric_1975-2021
103088,JRC_103088.met,1979-01-01,2021-12-31,50.98478,1,10,atmospheric_1975-2021
103089,JRC_103089.met,1979-01-01,2021-12-31,51.03976,2,10,atmospheric_1975-2021
103090,JRC_103090.met,1979-01-01,2021-12-31,51.06821,15,10,atmospheric_1975-2021
103091,JRC_103091.met,1979-01-01,2021-12-31,51.08888,15,10,atmospheric_1975-2021
103092,JRC_103092.met,1979-01-01,2021-12-31,51.10846,3,10,atmospheric_1975-2021
103093,JRC_103093.met,1979-01-01,2021-12-31,51.12694,3,10,atmospheric_1975-2021
103094,JRC_103094.met,1979-01-01,2021-12-31,51.14434,3,10,atmospheric_1975-2021
103095,JRC_103095.met,1979-01-01,2021-12-31,51.16065,10,10,atmospheric_1975-2021
103096,JRC_103096.met,1979-01-01,2021-12-31,51.17586,27,10,atmospheric_1975-2021
103097,JRC_103097.met,1979-01-01,2021-12-31,51.18998,32,10,atmospheric_1975-2021
103098,JRC_103098.met,1979-01-01,2021-12-31,51.203,29,10,atmospheric_1975-2021
104089,JRC_104089.met,1979-01-01,2021-12-31,51.18323,1,10,atmospheric_1975-2021
104090,JRC_104090.met,1979-01-01,2021-12-31,51.24327,1,10,atmospheric_1975-2021
104091,JRC_104091.met,1979-01-01,2021-12-31,51.29081,1,10,atmospheric_1975-2021
104092,JRC_104092.met,1979-01-01,2021-12-31,51.31186,1,10,atmospheric_1975-2021
104093,JRC_104093.met,1979-01-01,2021-12-31,51.33568,1,10,atmospheric_1975-2021
104094,JRC_104094.met,1979-01-01,2021-12-31,51.36832,13,10,atmospheric_1975-2021
104095,JRC_104095.met,1979-01-01,2021-12-31,51.38472,18,10,atmospheric_1975-2021
104096,JRC_104096.met,1979-01-01,2021-12-31,51.40002,20,10,atmospheric_1975-2021
104097,JRC_104097.met,1979-01-01,2021-12-31,51.41421,17,10,atmospheric_1975-2021
105095,JRC_105095.met,1979-01-01,2021-12-31,51.60877,1,10,atmospheric_1975-2021
